Sim,K0,Kept,Missing,KeepViews,CLF_Cov,CLF_Set,MinPV_Cov,MinPV_Set,Fisher_Cov,Fisher_Set,AdjF_Cov,AdjF_Set,WAvgL_Cov,WAvgL_Set
3,6,2,4,"[3, 5]",90.9,5.2752,91.74,5.3988,87.64999999999999,4.3694,90.35,4.9009,94.35,5.8847
3,6,2,4,"[3, 4]",90.42,5.0253,91.82000000000001,5.3957,86.3,4.2164,89.67,4.785,92.99,5.4431
3,6,2,4,"[0, 5]",90.03,5.6993,92.14,5.9467,87.49,4.7825,90.41,5.3405,94.31,6.1638
3,6,2,4,"[1, 3]",90.67,4.9646,91.5,5.1871,87.07000000000001,4.1562,89.75999999999999,4.6455,93.87,5.5746
3,6,2,4,"[0, 3]",90.97,4.9017,91.58,5.2841,87.77000000000001,4.2934,90.03,4.733,94.59,5.8374
3,6,2,4,"[2, 5]",91.14,5.1093,91.62,5.3016,87.86,4.3831,90.44,4.8318,94.67999999999999,5.9671
4,6,6,0,"[0, 1, 2, 3, 4, 5]",90.56,4.0403,94.65,5.9548,81.61,3.2027,90.69,4.4565,96.52,6.1868
4,6,5,1,"[0, 1, 2, 3, 4]",90.38000000000001,4.0711,94.07,5.7166,82.65,3.2975,90.42,4.3869,96.17,5.9741
4,6,5,1,"[0, 1, 2, 3, 5]",90.67,4.1097,94.01,5.7865,82.87,3.3351,90.62,4.4762,96.33,6.1533
4,6,5,1,"[0, 1, 2, 4, 5]",90.4,4.1073,94.04,5.8482,82.87,3.4177,90.63,4.5567,96.37,6.2009
4,6,5,1,"[0, 1, 3, 4, 5]",90.27,4.2262,93.91000000000001,5.7872,82.78,3.4309,90.53999999999999,4.5853,96.39,6.2071
4,6,5,1,"[0, 2, 3, 4, 5]",90.49000000000001,4.1447,93.96,5.8245,82.73,3.4102,90.61,4.5523,96.49,6.2299
4,6,5,1,"[1, 2, 3, 4, 5]",90.94,4.1951,93.97,5.7556,82.85,3.3276,90.53,4.464,96.31,6.046
4,6,4,2,"[0, 1, 2, 4]",90.19,4.2187,93.83,5.6508,84.23,3.5461,90.33,4.4655,95.99,5.9767
4,6,4,2,"[0, 1, 2, 3]",90.3,4.2298,94.06,5.6611,84.05,3.4678,90.36,4.4272,95.69,5.8746
